"","time","record_id","date","lat","long"
"85",19:30:00,"1-22",2025-07-24,-6.17557537030557,106.852656601627
"86",19:45:00,"1-22",2025-07-24,-6.17959,106.854951
"87",20:30:00,"1-22",2025-07-24,-6.179394,106.855182
"88",02:15:00,"1-25",2025-07-29,-6.179097,106.853956
"89",06:15:00,"1-25",2025-07-29,-6.179282,106.852291
"90",06:30:00,"1-25",2025-07-29,-6.179282,106.852291
"91",06:45:00,"1-25",2025-07-29,-6.18000919864088,106.860211271559
"92",07:00:00,"1-25",2025-07-29,-6.181566,106.860418
"93",08:15:00,"1-25",2025-07-29,-6.181562,106.860551
"94",08:45:00,"1-25",2025-07-29,-6.181435,106.86064
"95",09:00:00,"1-25",2025-07-28,-6.181597,106.860364
"96",09:45:00,"1-25",2025-07-28,-6.181543,106.860498
"97",10:15:00,"1-25",2025-07-28,-6.181493,106.860551
"98",11:45:00,"1-25",2025-07-28,-6.181438,106.860551
"99",12:00:00,"1-25",2025-07-28,-6.181513,106.860498
"100",12:30:00,"1-25",2025-07-28,-6.181327,106.859378
"101",13:30:00,"1-25",2025-07-28,-6.179153,106.853973
"102",15:15:00,"1-25",2025-07-28,-6.17553928460817,106.852699097057
"103",17:30:00,"1-25",2025-07-28,-6.17556804858692,106.852665223889
"104",17:45:00,"1-25",2025-07-28,-6.175393534265,106.852994237625
"105",18:00:00,"1-25",2025-07-28,-6.174533,106.854765
"106",18:15:00,"1-25",2025-07-28,-6.175806,106.852385
"107",18:30:00,"1-25",2025-07-28,-6.174533,106.854765
"108",20:45:00,"1-25",2025-07-28,-6.179282,106.852291
"109",23:45:00,"1-25",2025-07-28,-6.179146,106.854133
"110",03:00:00,"1-3",2025-07-30,-6.183949,106.862201
"111",03:15:00,"1-3",2025-07-30,-6.183949,106.862201
"112",05:30:00,"1-3",2025-07-30,-6.183949,106.862201
"113",05:45:00,"1-3",2025-07-30,-6.183949,106.862201
"114",06:00:00,"1-3",2025-07-30,-6.183803,106.862133
"115",06:15:00,"1-3",2025-07-30,-6.18092688013247,106.861255202662
"116",06:30:00,"1-3",2025-07-30,-6.180888,106.86198
"117",07:45:00,"1-3",2025-07-30,-6.175943,106.865895
"118",08:45:00,"1-3",2025-07-30,-6.175943,106.865895
"119",09:00:00,"1-3",2025-07-29,-6.181639,106.860302
"120",10:45:00,"1-3",2025-07-29,-6.17595263225954,106.865886943959
"121",11:00:00,"1-3",2025-07-29,-6.17960401353682,106.860495378118
"122",12:00:00,"1-3",2025-07-29,-6.175943,106.865895
"123",12:15:00,"1-3",2025-07-29,-6.17595250887588,106.865887047152
"124",12:30:00,"1-3",2025-07-29,-6.183524,106.861964
"125",13:00:00,"1-3",2025-07-29,-6.187888009874,106.86002190331
"126",13:15:00,"1-3",2025-07-29,-6.185294,106.858169
"127",13:30:00,"1-3",2025-07-29,-6.18481,106.860987
"128",14:30:00,"1-3",2025-07-29,-6.184062,106.861244
"129",14:45:00,"1-3",2025-07-29,-6.18509,106.857564
"130",15:15:00,"1-3",2025-07-29,-6.183388,106.861902
"131",15:45:00,"1-3",2025-07-29,-6.183295,106.861618
"132",16:00:00,"1-3",2025-07-29,-6.183553,106.862204
"133",18:30:00,"1-3",2025-07-29,-6.183949,106.862201
"134",20:15:00,"1-3",2025-07-29,-6.183949,106.862201
"135",20:30:00,"1-3",2025-07-29,-6.183539,106.862018
"136",20:45:00,"1-3",2025-07-29,-6.177206,106.860516
"137",21:00:00,"1-3",2025-07-29,-6.179238,106.860827
"138",00:00:00,"1-23",2025-07-31,-6.179029,106.857639
"139",00:15:00,"1-23",2025-07-31,-6.179029,106.857638999999
"140",00:30:00,"1-23",2025-07-31,-6.179029,106.857638999999
"141",01:00:00,"1-23",2025-07-31,-6.179029,106.857638999999
"142",01:15:00,"1-23",2025-07-31,-6.179029,106.857639
"143",01:30:00,"1-23",2025-07-31,-6.179029,106.857639
"144",02:00:00,"1-23",2025-07-31,-6.17902899999999,106.857639
"145",02:15:00,"1-23",2025-07-31,-6.179029,106.857639
"146",02:45:00,"1-23",2025-07-31,-6.179029,106.857639
"147",03:00:00,"1-23",2025-07-31,-6.179029,106.857638999999
"148",03:15:00,"1-23",2025-07-31,-6.179029,106.857639
"149",03:45:00,"1-23",2025-07-31,-6.179029,106.857639
"150",04:00:00,"1-23",2025-07-31,-6.179029,106.857639
"151",04:15:00,"1-23",2025-07-31,-6.179029,106.857639
"152",04:30:00,"1-23",2025-07-31,-6.179029,106.857639
"153",04:45:00,"1-23",2025-07-31,-6.179029,106.857639
"154",05:00:00,"1-23",2025-07-31,-6.179029,106.857638999999
"155",06:00:00,"1-23",2025-07-31,-6.179029,106.857639
"156",06:15:00,"1-23",2025-07-31,-6.17732796403231,106.862780934041
"157",06:30:00,"1-23",2025-07-31,-6.180888,106.86198
"158",09:00:00,"1-23",2025-07-30,-6.175943,106.865895
"159",10:15:00,"1-23",2025-07-30,-6.175943,106.865895
"160",10:30:00,"1-23",2025-07-30,-6.183803,106.862133
"161",12:00:00,"1-23",2025-07-30,-6.17596650226257,106.865875343614
"162",12:15:00,"1-23",2025-07-30,-6.17595810671545,106.865882365335
"163",12:30:00,"1-23",2025-07-30,-6.1803,106.8551
"164",13:00:00,"1-23",2025-07-30,-6.179029,106.857639
"165",13:15:00,"1-23",2025-07-30,-6.179029,106.857639
"166",13:45:00,"1-23",2025-07-30,-6.179029,106.857639
"167",14:00:00,"1-23",2025-07-30,-6.179029,106.857639
"168",14:15:00,"1-23",2025-07-30,-6.17902899999999,106.857639
"169",14:30:00,"1-23",2025-07-30,-6.179029,106.857639
"170",14:45:00,"1-23",2025-07-30,-6.179029,106.857639
"171",15:00:00,"1-23",2025-07-30,-6.179029,106.857639
"172",15:30:00,"1-23",2025-07-30,-6.179029,106.857639
"173",15:45:00,"1-23",2025-07-30,-6.17902899999999,106.857639
"174",16:00:00,"1-23",2025-07-30,-6.179029,106.857639
"175",16:30:00,"1-23",2025-07-30,-6.179029,106.857638999999
"176",16:45:00,"1-23",2025-07-30,-6.179029,106.857639
"177",17:00:00,"1-23",2025-07-30,-6.179029,106.857639
"178",17:15:00,"1-23",2025-07-30,-6.179029,106.857639
"179",17:30:00,"1-23",2025-07-30,-6.179029,106.857639
"180",17:45:00,"1-23",2025-07-30,-6.179029,106.857638999999
"181",18:15:00,"1-23",2025-07-30,-6.179029,106.857639
"182",18:30:00,"1-23",2025-07-30,-6.179029,106.857639
"183",18:45:00,"1-23",2025-07-30,-6.179029,106.857639
"184",19:15:00,"1-23",2025-07-30,-6.179029,106.857639
"185",19:30:00,"1-23",2025-07-30,-6.179029,106.857639
"186",19:45:00,"1-23",2025-07-30,-6.179029,106.857639
"187",20:00:00,"1-23",2025-07-30,-6.179029,106.857639
"188",20:15:00,"1-23",2025-07-30,-6.179029,106.857639
"189",20:30:00,"1-23",2025-07-30,-6.179029,106.857639
"190",21:00:00,"1-23",2025-07-30,-6.179029,106.857639
"191",21:15:00,"1-23",2025-07-30,-6.179029,106.857639
"192",21:30:00,"1-23",2025-07-30,-6.179029,106.857639
"193",21:45:00,"1-23",2025-07-30,-6.179029,106.857639
"194",22:15:00,"1-23",2025-07-30,-6.179029,106.857638999999
"195",22:30:00,"1-23",2025-07-30,-6.179029,106.857639
"196",22:45:00,"1-23",2025-07-30,-6.179029,106.857639
"197",23:15:00,"1-23",2025-07-30,-6.179029,106.857639
"198",23:30:00,"1-23",2025-07-30,-6.179029,106.857639
"199",23:45:00,"1-23",2025-07-30,-6.179029,106.857639
"200",07:15:00,"1-4",2025-08-01,-6.18105,106.860719
"201",07:45:00,"1-4",2025-08-01,-6.175911,106.865859
"202",08:00:00,"1-4",2025-08-01,-6.175943,106.865895
"203",09:00:00,"1-4",2025-07-31,-6.181409,106.860622
"204",09:15:00,"1-4",2025-07-31,-6.181513,106.8604
"205",10:15:00,"1-4",2025-07-31,-6.181193,106.860853
"206",12:15:00,"1-4",2025-07-31,-6.18093520573637,106.861612557827
"207",12:30:00,"1-4",2025-07-31,-6.17592365755406,106.865873239727
"208",12:45:00,"1-4",2025-07-31,-6.180888,106.86198
"209",21:15:00,"1-4",2025-07-31,-6.18105,106.860719
"210",21:30:00,"1-4",2025-07-31,-6.181193,106.860853
"211",06:00:00,"1-6",2025-08-05,-6.181457,106.860693
"212",06:15:00,"1-6",2025-08-05,-6.181778,106.860036
"213",06:30:00,"1-6",2025-08-05,-6.181462,106.8604
"214",06:45:00,"1-6",2025-08-05,-6.181505,106.860516
"215",07:30:00,"1-6",2025-08-05,-6.181467,106.860622
"216",09:45:00,"1-6",2025-08-04,-6.17593461465957,106.865885566475
"217",10:00:00,"1-6",2025-08-04,-6.18088121346964,106.860870624368
"218",10:15:00,"1-6",2025-08-04,-6.1759294634728,106.865879771385
"219",10:45:00,"1-6",2025-08-04,-6.17592711972147,106.865877134664
"220",12:00:00,"1-6",2025-08-04,-6.18084943137414,106.861424658176
"221",12:15:00,"1-6",2025-08-04,-6.17592885036058,106.865879081634
"222",12:30:00,"1-6",2025-08-04,-6.18094060073059,106.86099942316
"223",12:45:00,"1-6",2025-08-04,-6.181628,106.860267
"224",15:30:00,"1-6",2025-08-04,-6.18105,106.860719
"225",15:45:00,"1-6",2025-08-04,-6.18105,106.860719
"226",16:00:00,"1-6",2025-08-04,-6.181435,106.860524
"227",18:45:00,"1-6",2025-08-04,-6.181404,106.860693
"228",05:00:00,"1-7",2025-08-06,-6.193214,106.770659
"229",05:15:00,"1-7",2025-08-06,-6.193974,106.7688
"230",05:30:00,"1-7",2025-08-06,-6.163693,106.776089
"231",05:45:00,"1-7",2025-08-06,-6.169928,106.817511
"232",06:00:00,"1-7",2025-08-06,-6.174887,106.847884
"233",06:15:00,"1-7",2025-08-06,-6.18214,106.860356
"234",06:30:00,"1-7",2025-08-06,-6.181589,106.86024
"235",08:30:00,"1-7",2025-08-06,-6.18083023557947,106.861148262037
"236",09:15:00,"1-7",2025-08-05,-6.18087390879375,106.860868519899
"237",09:30:00,"1-7",2025-08-05,-6.1759317609945,106.865882356098
"238",10:00:00,"1-7",2025-08-05,-6.18105,106.860719
"239",10:15:00,"1-7",2025-08-05,-6.181468,106.860578
"240",12:00:00,"1-7",2025-08-05,-6.18087800316659,106.86089436889
"241",12:15:00,"1-7",2025-08-05,-6.17592969115163,106.865880027524
"242",12:30:00,"1-7",2025-08-05,-6.17593212623219,106.865882766991
"243",12:45:00,"1-7",2025-08-05,-6.183949,106.862201
"244",13:00:00,"1-7",2025-08-05,-6.18446029269824,106.858973166276
"245",13:15:00,"1-7",2025-08-05,-6.181468,106.860578
"246",14:00:00,"1-7",2025-08-05,-6.18032247226221,106.858797895359
"247",14:15:00,"1-7",2025-08-05,-6.18081024755498,106.859917853526
"248",14:30:00,"1-7",2025-08-05,-6.18081962201656,106.859949178354
"249",14:45:00,"1-7",2025-08-05,-6.18445175138676,106.859479498708
"250",15:15:00,"1-7",2025-08-05,-6.181485,106.860027
"251",16:00:00,"1-7",2025-08-05,-6.181468,106.860151
"252",16:30:00,"1-7",2025-08-05,-6.180206,106.85864
"253",16:45:00,"1-7",2025-08-05,-6.178072,106.858853
"254",17:00:00,"1-7",2025-08-05,-6.177582,106.843538
"255",17:15:00,"1-7",2025-08-05,-6.168977,106.832347
"256",17:30:00,"1-7",2025-08-05,-6.167765,106.820818
